timestamp,org_id,batch_id,leaf_count,merkle_root_hex
2025-08-17T16:18:12.334Z,8aaaa34c-b8ab-4636-89c5-7a0b66c6394b,97,84,52e3074f9530bf9bf97fad08ebaa93cfa7a531faad7ce0ee0ebb3714ccf91912
2025-08-17T18:28:28.127Z,44512682-145e-430d-bdc8-c0d053566876,1,1,1164a3f986efecffe42b1b05242d89dece5f33434bb4e9543fd3261c2bf416ab
2025-08-17T18:28:56.231Z,44512682-145e-430d-bdc8-c0d053566876,2,5,c411980711e854b7dba33d326b4b362d961d4e2fb353458e0e1f6607a531d49e
2025-08-17T18:29:26.216Z,44512682-145e-430d-bdc8-c0d053566876,3,9,ef2b9b95238eb541a5c906f69ce0a8ee0a015fc49143f2f12bdc62c10f6316c4
2025-08-17T18:29:56.220Z,44512682-145e-430d-bdc8-c0d053566876,4,5,789dee0cbecee011f545cff2a6af0bff1f310fff3c23e16baa3c31e8a7302598
2025-08-17T18:30:26.205Z,44512682-145e-430d-bdc8-c0d053566876,5,4,d6de5dc2bb6718a6e30996880fcaa04f33be5b7a803ecf774dc892f5518ce26b
2025-08-17T18:30:56.290Z,44512682-145e-430d-bdc8-c0d053566876,6,5,8eda185d6528b7446c056313953e53ff62dc973050898790a3a93fdf21440471
2025-08-17T18:31:26.268Z,44512682-145e-430d-bdc8-c0d053566876,7,5,e322229681249f9e538356f69e38d45270c7ee9cbae1f53b906d56bf2e4e3b53
2025-08-17T18:31:56.506Z,44512682-145e-430d-bdc8-c0d053566876,8,5,a7d375dd802a2294b054d998b3a73929ed49ab091eb70561df0815e9b2c5d98a
2025-08-17T18:32:26.324Z,44512682-145e-430d-bdc8-c0d053566876,9,4,d30ceb530eae849c521321eddbba4da0ea4e13d844299fb773ca9ee76dcc1700
2025-08-17T18:32:56.499Z,44512682-145e-430d-bdc8-c0d053566876,10,4,1a8a40110cd742127aa589a697f99c83a83b69250dd5b1e5a2d1a90d903a137c
2025-08-17T18:33:26.364Z,44512682-145e-430d-bdc8-c0d053566876,11,3,d3f52cf317832c76f09d3093f82c3dd014d0f75fb825074ec5e8d060be2b51ea
2025-08-17T18:33:56.456Z,44512682-145e-430d-bdc8-c0d053566876,12,3,8df7ef6b683f5cf20ec32173dd4903f87736cdb8276f2448ba14ce0797da75d1
2025-08-17T18:34:26.361Z,44512682-145e-430d-bdc8-c0d053566876,13,3,34e70e1cb2e6c23c312901280bc07aa39345e9cc05bd23ca69354d4269d6bd04
2025-08-17T18:34:56.438Z,44512682-145e-430d-bdc8-c0d053566876,14,1,1f476a5b2c2f72561c2591c1fb50194b85e7b12a0cf084de7c1ad66880bbaeb9
2025-08-17T18:35:26.431Z,44512682-145e-430d-bdc8-c0d053566876,15,1,aa3ee777925b7b7e5a7d8169b3264d3527c8a91519ed1df388120176c0ab737b
2025-08-17T18:35:56.541Z,44512682-145e-430d-bdc8-c0d053566876,16,2,637e4790f46794a456b2396ac58a77b63c6abd6c988969161d6767b34c1f8be0
2025-08-17T18:36:26.536Z,44512682-145e-430d-bdc8-c0d053566876,17,1,fee2f5d1b93a2479f590c1ac01ab1e259b0b23c968278fbe68dbce77c5132153
2025-08-17T18:36:56.711Z,44512682-145e-430d-bdc8-c0d053566876,18,1,a447172318f0d7696c0b68f619f8dd82159169a700d9717493a2d4b72ade6662
2025-08-17T18:37:26.564Z,44512682-145e-430d-bdc8-c0d053566876,19,2,12007d8dcef93388f14fe9a9800718801ab39088e9d1d5f90246527aa389bbb0
2025-08-17T18:37:56.655Z,44512682-145e-430d-bdc8-c0d053566876,20,2,9e63614df28a0ed49f6a6d5759df3c51c7bcb73649424e6017714c93b4c7a117
2025-08-17T18:38:26.624Z,44512682-145e-430d-bdc8-c0d053566876,21,1,345994fba92d526222d731ceb2bbf705d20ba188487c0a37cee5cbabb2832e74
2025-08-17T18:38:56.711Z,44512682-145e-430d-bdc8-c0d053566876,22,1,1a35b30620d13e2e3cdedf0717e8078b5d028c4025740d175a7847bc722f972d
2025-08-17T18:39:26.736Z,44512682-145e-430d-bdc8-c0d053566876,23,1,f3fda9a32463c4896fa687ce8e076d6c96b859a00439e5a42d59724bf9d1524a
2025-08-17T18:39:56.799Z,44512682-145e-430d-bdc8-c0d053566876,24,2,78547669810c77a4b21d1449fd6d46aa7201913b03351b355ff06cb729cfef14
2025-08-17T18:40:26.692Z,44512682-145e-430d-bdc8-c0d053566876,25,1,c8f852c6ba48de5e575dcadceb56a4dfc393cf5e26caef4c36d54e9d195ef0f4
2025-08-17T18:40:56.626Z,44512682-145e-430d-bdc8-c0d053566876,26,1,dd4fc6c89c4d185a7525f475e303a2814d9d334e47dac98bd6dedf4b7bacd200
2025-08-17T18:41:26.679Z,44512682-145e-430d-bdc8-c0d053566876,27,1,66067b4f91b44db564a978567587fd67cc8dc9d10ca00f5a5f1baf0658103574
2025-08-17T18:41:56.874Z,44512682-145e-430d-bdc8-c0d053566876,28,2,8e731f5b62e4d0fbc309ab764886834fd6aea7dab762bcc55880f7b997f36c75
2025-08-17T18:42:26.780Z,44512682-145e-430d-bdc8-c0d053566876,29,1,0cad24a613a3936c9b1261c319ca51f5eaa312672ad629a647c698c0627d59b6
2025-08-17T18:42:56.882Z,44512682-145e-430d-bdc8-c0d053566876,30,1,8c062aa9207fc102878849deb3cfc80a4d705460c3e1db212be3feccecd8cb46
2025-08-17T18:43:26.959Z,44512682-145e-430d-bdc8-c0d053566876,31,1,44434d9998c4a64a32dcef2ae10f5a94eb3f5580ed3d220af29ef923f7d18650
2025-08-17T18:43:56.927Z,44512682-145e-430d-bdc8-c0d053566876,32,1,64ab7a4b3fc766c7d6592f126ca86b3b54a5b74f70415ace654e2177d5bdaab8
2025-08-17T18:44:26.947Z,44512682-145e-430d-bdc8-c0d053566876,33,2,e9938af67022f8267102df216170190af55b0e38e6aa84831cf0a98bcbd4af6b
2025-08-17T18:44:56.954Z,44512682-145e-430d-bdc8-c0d053566876,34,1,3d0beb2a1780e5cc0d17019a2aa53840e99a142a570a100fa3408efaf8f5effb
2025-08-17T18:45:26.932Z,44512682-145e-430d-bdc8-c0d053566876,35,1,44a17437b7f296ec1e0873899dd01bf08f77522bc585761248aa475ef9002771
2025-08-17T22:45:51.779Z,08fd7880-ae15-44a0-bb30-b2337ab27cd2,10,48,a0ccc835e9483dbb84a1034eb406c312a1355f52145560329bb0ade97114fa46
2025-08-17T22:46:28.033Z,08fd7880-ae15-44a0-bb30-b2337ab27cd2,12,4,285b8650bbd1520749a7f9c5510c7e3a678d32f5dddbf9f0d96518041bd7b72c
